1uM,,250nM,,500nM,,750nM,,100nM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
777,0.0127442949620075,777,-0.0160700944119347,777,0.0102344887125999,777,-0.0126109656410196,777,0.0159465493916685
776,0.0130143594174432,776,-0.0158482212835977,776,0.0100960048827445,776,-0.0128940575252819,776,0.0158292664226371
775,0.0131900394450972,775,-0.0153714545099681,775,0.0102689442861855,775,-0.0126557216213026,775,0.0164153261733659
774,0.0131564453159277,774,-0.0156779219078305,774,0.0105498326606965,774,-0.0126392781061141,774,0.0161812909966463
773,0.0132614789679578,773,-0.0156300303414288,773,0.0105606539702787,773,-0.0127057020622521,773,0.0161321241661808
772,0.0130860901790299,772,-0.015382997788227,772,0.0104959423104509,772,-0.0121524289803995,772,0.0163613213343787
771,0.0134622503760315,771,-0.0155750409144534,771,0.0103563146707207,771,-0.0125439236172969,771,0.0163896266668532
770,0.013416006797809,770,-0.0157087315211912,770,0.01017403903845,770,-0.012207450759988,770,0.0159886855537829
769,0.0129471475891506,769,-0.015819618051296,769,0.0103583294864364,769,-0.0126885062215641,769,0.015896227681714
768,0.0128809061082066,768,-0.0156754250849132,768,0.00988738206247144,768,-0.0129182809352803,768,0.0157357688347901
767,0.0127077233136127,767,-0.0156973966339504,767,0.0101742775344409,767,-0.0130259130267535,767,0.0160259911512074
766,0.0130863302795689,766,-0.0155226921028602,766,0.0101593055400858,766,-0.0126869475005946,766,0.0163002010119613
765,0.0130524240621159,765,-0.01558807718483,765,0.0102003273849628,765,-0.0125346183925197,765,0.0160072170914796
764,0.013197084135376,764,-0.0156028111955941,764,0.0100995022086122,764,-0.0124025633083853,764,0.0157737506411075
763,0.0128772796521723,763,-0.015608954381238,763,0.00991921466754657,763,-0.0124722933962564,763,0.0159186220022864
762,0.0130144661111538,762,-0.0157430839099101,762,0.0100354155332469,762,-0.0121680854753694,762,0.0163775839067632
761,0.0132526451291335,761,-0.0157261077783511,761,0.010135059953699,761,-0.0125189751058759,761,0.0161016059172117
760,0.0134553081852808,760,-0.0153713045952453,760,0.0101219175567427,760,-0.0123598946454394,760,0.0160822913378526
759,0.0129408003429196,759,-0.0154650911289624,759,0.0101128823895317,759,-0.01276321770471,759,0.0160088554248853
758,0.0130573591061868,758,-0.0157749872558783,758,0.0100448994470797,758,-0.012673421590186,758,0.0163981213145524
757,0.0132350313644837,757,-0.0155681979645789,757,0.0101885610331482,757,-0.0128510350266694,757,0.0162760132864264
756,0.013106926064297,756,-0.0152493068277628,756,0.0102051506212955,756,-0.0122317628298437,756,0.0166561581980923
755,0.0131959366969719,755,-0.0153243787437999,755,0.0106131464524643,755,-0.012290498798571,755,0.0167117330965549
754,0.0129859264778134,754,-0.0159197959863747,754,0.0102070057264561,754,-0.012448598496694,754,0.016233983598789
753,0.0130612538292078,753,-0.0156318781849043,753,0.0102173944617962,753,-0.012293719735908,753,0.0163095270837506
752,0.0130418605887024,752,-0.015742834265724,752,0.0103039062352739,752,-0.0123157623846687,752,0.0160671411424048
751,0.0131688793769493,751,-0.0155390268081821,751,0.0102684936956599,751,-0.0124676148879439,751,0.0160173426280238
750,0.0127996914141737,750,-0.0158921957026577,750,0.0101193474167346,750,-0.0127209364049295,750,0.0160219891734187
749,0.0131908399723286,749,-0.0153044874491811,749,0.0105267321887471,749,-0.0121622458197731,749,0.0162651829970783
748,0.0127727654032599,748,-0.015864593664776,748,0.00999403842155163,748,-0.0125891391416059,748,0.0160609361617205
747,0.0129031454787914,747,-0.0156559993123318,747,0.0102349392678459,747,-0.0123178760045346,747,0.0159168497477904
746,0.0131352335227768,746,-0.0161450744759089,746,0.0100646626815835,746,-0.0126222807907677,746,0.0164212673844939
745,0.0129599757103177,745,-0.0157166208275649,745,0.00985409538624943,745,-0.012692227016746,745,0.0157982862380953
744,0.0132204872033673,744,-0.0154759824451885,744,0.0103593103869442,744,-0.0124176070378281,744,0.016348177320052
743,0.0128105955905303,743,-0.016099678910836,743,0.00999186636454091,743,-0.01273295255566,743,0.0158203265064895
742,0.0127203044661496,742,-0.0158814645582093,742,0.00987919918241475,742,-0.0126603478191656,742,0.0160247019194369
741,0.0131706137699754,741,-0.0155402256614364,741,0.0100380911415961,741,-0.0123912927482306,741,0.0164648208256036
740,0.0131534836071082,740,-0.0157065344736503,740,0.0101586960716028,740,-0.0123664361040516,740,0.01604344987493
739,0.0129776850074634,739,-0.015770893373855,739,0.0102281279825359,739,-0.0126984617912646,739,0.0163658102811152
738,0.0128735199025204,738,-0.0156761741332956,738,0.0100563969834771,738,-0.0125937157565661,738,0.0164608416879619
737,0.0128831993239748,737,-0.0157509725922756,737,0.00998442317840048,737,-0.012527677067988,737,0.0160240304460722
736,0.0127514390546282,736,-0.0158633457915981,736,0.00984816389951657,736,-0.0127454711205912,736,0.0160346398466208
735,0.0128408834433464,735,-0.0159510874955894,735,0.00999268750676784,735,-0.0127654296926958,735,0.0161086174026168
734,0.0126753125317316,734,-0.0157574132456745,734,0.00982480945795588,734,-0.0127208861274497,734,0.0161188527627054
733,0.0127094558659454,733,-0.0159786840369877,733,0.00981466840785628,733,-0.0129335078229926,733,0.0160226337847991
732,0.0124368638058621,732,-0.0159563773844031,732,0.00949051789259925,732,-0.0130114430370949,732,0.0160625478364922
731,0.0124891040253166,731,-0.0161384899189317,731,0.00955449774285908,731,-0.0129264723636665,731,0.0159013294037758
730,0.0127058574957532,730,-0.0158102329852173,730,0.00985608139321396,730,-0.0127491914277635,730,0.0161077308867165
729,0.0124801526797971,729,-0.0158476721991418,729,0.00973969023667861,729,-0.012842540594987,729,0.0160960451644481
728,0.0124423779026087,728,-0.0160083246616241,728,0.00980222410077137,728,-0.0130788148229446,728,0.0161248705148363
727,0.0122700888047261,727,-0.0160877056633221,727,0.00957905496098921,727,-0.0130959449825773,727,0.0160097148809467
726,0.012474158578347,726,-0.0162788889526732,726,0.00961234702778887,726,-0.0129844110009415,726,0.0162326400057922
725,0.0122061869013012,725,-0.0163028245787451,725,0.00952933332733648,725,-0.013169883256256,725,0.0159770030342291
724,0.0123574632478971,724,-0.016064905691757,724,0.00949636512197273,724,-0.0132042863815876,724,0.0162178070153603
723,0.0123042535543863,723,-0.0163279057047989,723,0.00970157070663588,723,-0.0131322627049471,723,0.0159687851742741
722,0.0125081262471595,722,-0.0160948397630452,722,0.00978353183297516,722,-0.0130443515163661,722,0.0163296312280296
721,0.0125771354180831,721,-0.0160281338502989,721,0.0100459591151195,721,-0.0128998873490676,721,0.0162778407564216
720,0.0131476936581145,720,-0.015751072448096,720,0.0101784909852105,720,-0.0125703795455139,720,0.0165566468657426
719,0.0129270127368995,719,-0.0157525203549119,719,0.0100400514987704,719,-0.0125629861308773,719,0.0162520956380738
718,0.0129661098730647,718,-0.015679320122394,718,0.0102756236829233,718,-0.0124974961062519,718,0.0163385009993156
717,0.0132168045389326,717,-0.0152861446690988,717,0.0105868331064139,717,-0.012223356947203,717,0.0164861420963034
716,0.0128286187414123,716,-0.0155522140119663,716,0.0101660627479673,716,-0.012423896067916,716,0.0160723254583143
715,0.0132502698979871,715,-0.0153724039686778,715,0.0105690884132578,715,-0.0121544427091309,715,0.0164872444855428
714,0.0131317116649571,714,-0.0152147653890954,714,0.010529622995702,714,-0.0122314608249019,714,0.016305737503047
713,0.013206744085854,713,-0.0152589539457396,713,0.0106251630570903,713,-0.0122305044745338,713,0.0162729764782943
712,0.0130892915304643,712,-0.0151043743276971,712,0.0105316651369835,712,-0.0122035747969809,712,0.016173740974053
711,0.0131264022514695,711,-0.0151521239052064,711,0.0105119602003889,711,-0.0120769577639627,711,0.016220735953402
710,0.0132346310599529,710,-0.0151798712478072,710,0.0107756507701317,710,-0.0121693440115492,710,0.016289208867476
709,0.013356821134107,709,-0.0151072244498077,709,0.0107829748455924,709,-0.0121927521197256,709,0.0163141230025904
